rht-business |192.168.0.112 |2023-07-12 10:27:59.405 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 580 | HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
rht-business |192.168.0.112 |2023-07-12 10:27:59.405 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 581 | HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
rht-business |192.168.0.112 |2023-07-12 10:27:59.405 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 582 | HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
rht-business |192.168.0.112 |2023-07-12 10:27:59.519 |  INFO | main | org.eclipse.jetty.server.session.DefaultSessionIdManager : 333 | DefaultSessionIdManager workerName=node0
rht-business |192.168.0.112 |2023-07-12 10:27:59.520 |  INFO | main | org.eclipse.jetty.server.session.DefaultSessionIdManager : 338 | No SessionScavenger set, using defaults
rht-business |192.168.0.112 |2023-07-12 10:27:59.520 |  INFO | main | org.eclipse.jetty.server.session.HouseKeeper : 140 | node0 Scavenging every 660000ms
rht-business |192.168.0.112 |2023-07-12 10:27:59.524 |  INFO | main | org.eclipse.jetty.server.handler.ContextHandler : 825 | Started o.s.b.w.e.j.JettyEmbeddedWebAppContext@14580edc{application,/,[file:///private/var/folders/pc/s9vgbj397r9f9mbm71rc39y40000gn/T/jetty-docbase.7909557153756123332.8055/, jar:file:/Users/muxiaohui/.m2/repository/io/springfox/springfox-swagger-ui/2.9.2/springfox-swagger-ui-2.9.2.jar!/META-INF/resources, jar:file:/Users/muxiaohui/.m2/repository/com/github/xiaoymin/swagger-bootstrap-ui/1.9.1/swagger-bootstrap-ui-1.9.1.jar!/META-INF/resources],AVAILABLE}
rht-business |192.168.0.112 |2023-07-12 10:27:59.524 |  INFO | main | org.eclipse.jetty.server.Server : 399 | Started @3147ms
rht-business |192.168.0.112 |2023-07-12 10:27:59.574 |  INFO | main | com.zaxxer.hikari.HikariDataSource : 110 | HikariPool-1 - Starting...
rht-business |192.168.0.112 |2023-07-12 10:27:59.759 |  INFO | main | com.zaxxer.hikari.HikariDataSource : 123 | HikariPool-1 - Start completed.
rht-business |192.168.0.112 |2023-07-12 10:28:00.029 |  INFO | main | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver : 58 | Exposing 2 endpoint(s) beneath base path '/actuator'
rht-business |192.168.0.112 |2023-07-12 10:28:00.070 |  INFO | main | springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping : 69 | Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
rht-business |192.168.0.112 |2023-07-12 10:28:00.084 |  INFO | main | com.rmpl.business.controller.config.XxlJobConfig : 45 | >>>>>>>>>>> xxl-job config init.
rht-business |192.168.0.112 |2023-07-12 10:28:00.087 | DEBUG | main | org.hibernate.validator.internal.engine.resolver.TraversableResolvers : 60 | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
rht-business |192.168.0.112 |2023-07-12 10:28:00.087 | DEBUG | main | org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator : 89 | Loaded expression factory via original TCCL
rht-business |192.168.0.112 |2023-07-12 10:28:00.088 | DEBUG | main | org.hibernate.validator.internal.engine.resolver.TraversableResolvers : 60 | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
rht-business |192.168.0.112 |2023-07-12 10:28:00.088 | DEBUG | main | org.hibernate.validator.internal.engine.ConfigurationImpl : 148 | Setting custom MessageInterpolator of type org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator
rht-business |192.168.0.112 |2023-07-12 10:28:00.088 | DEBUG | main | org.hibernate.validator.internal.engine.ConfigurationImpl : 180 | Setting custom ConstraintValidatorFactory of type org.springframework.validation.beanvalidation.SpringConstraintValidatorFactory
rht-business |192.168.0.112 |2023-07-12 10:28:00.089 | DEBUG | main | org.hibernate.validator.internal.engine.ConfigurationImpl : 194 | Setting custom ParameterNameProvider of type org.springframework.validation.beanvalidation.LocalValidatorFactoryBean$1
rht-business |192.168.0.112 |2023-07-12 10:28:00.089 | DEBUG | main | org.hibernate.validator.internal.xml.config.ValidationXmlParser : 120 | Trying to load META-INF/validation.xml for XML based Validator configuration.
rht-business |192.168.0.112 |2023-07-12 10:28:00.089 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 53 | Trying to load META-INF/validation.xml via user class loader
rht-business |192.168.0.112 |2023-07-12 10:28:00.089 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 60 | Trying to load META-INF/validation.xml via TCCL
rht-business |192.168.0.112 |2023-07-12 10:28:00.089 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 66 | Trying to load META-INF/validation.xml via Hibernate Validator's class loader
rht-business |192.168.0.112 |2023-07-12 10:28:00.090 | DEBUG | main | org.hibernate.validator.internal.xml.config.ValidationXmlParser : 127 | No META-INF/validation.xml found. Using annotation based configuration only.
rht-business |192.168.0.112 |2023-07-12 10:28:00.092 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 578 | HV000234: Using org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator as ValidatorFactory-scoped message interpolator.
rht-business |192.168.0.112 |2023-07-12 10:28:00.092 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 579 | HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
rht-business |192.168.0.112 |2023-07-12 10:28:00.092 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 580 | HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
rht-business |192.168.0.112 |2023-07-12 10:28:00.092 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 581 | HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
rht-business |192.168.0.112 |2023-07-12 10:28:00.092 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 582 | HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
rht-business |192.168.0.112 |2023-07-12 10:28:00.108 |  WARN | main | com.netflix.config.sources.URLConfigurationSource : 121 | No URLs will be polled as dynamic configuration sources.
rht-business |192.168.0.112 |2023-07-12 10:28:00.108 |  INFO | main | com.netflix.config.sources.URLConfigurationSource : 122 | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
rht-business |192.168.0.112 |2023-07-12 10:28:00.110 |  WARN | main | com.netflix.config.sources.URLConfigurationSource : 121 | No URLs will be polled as dynamic configuration sources.
rht-business |192.168.0.112 |2023-07-12 10:28:00.110 |  INFO | main | com.netflix.config.sources.URLConfigurationSource : 122 | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
rht-business |192.168.0.112 |2023-07-12 10:28:00.157 |  INFO | main | org.springframework.scheduling.concurrent.ExecutorConfigurationSupport : 171 | Initializing ExecutorService 'applicationTaskExecutor'
rht-business |192.168.0.112 |2023-07-12 10:28:00.306 |  INFO | main | org.springframework.cloud.stream.function.FunctionConfiguration$FunctionBindingRegistrar : 652 | Functional binding is disabled due to the presense of @EnableBinding annotation in your configuration
rht-business |192.168.0.112 |2023-07-12 10:28:00.621 |  INFO | Thread-23 | com.xxl.job.core.server.EmbedServer$1 : 82 | >>>>>>>>>>> xxl-job remoting server start success, nettype = class com.xxl.job.core.server.EmbedServer, port = 9999
rht-business |192.168.0.112 |2023-07-12 10:28:00.667 |  INFO | main | org.springframework.integration.monitor.IntegrationMBeanExporter : 773 | Registering MessageChannel errorChannel
rht-business |192.168.0.112 |2023-07-12 10:28:00.706 |  INFO | main | org.springframework.integration.monitor.IntegrationMBeanExporter : 773 | Registering MessageChannel nullChannel
